,pathname,class,mode
1634,/asl_dataset/q/hand2_q_left_seg_2_cropped.jpeg,q,val
2026,/asl_dataset/k/hand2_k_dif_seg_5_cropped.jpeg,k,val
726,/asl_dataset/1/hand1_1_top_seg_5_cropped.jpeg,1,val
59,/asl_dataset/r/hand5_r_dif_seg_1_cropped.jpeg,r,val
210,/asl_dataset/0/hand1_0_bot_seg_5_cropped.jpeg,0,val
1902,/asl_dataset/e/hand5_e_bot_seg_4_cropped.jpeg,e,val
21,/asl_dataset/r/hand4_r_bot_seg_1_cropped.jpeg,r,val
2344,/asl_dataset/5/hand2_5_right_seg_1_cropped.jpeg,5,val
2210,/asl_dataset/2/hand2_2_left_seg_5_cropped.jpeg,2,val
2280,/asl_dataset/y/hand5_y_dif_seg_1_cropped.jpeg,y,val
641,/asl_dataset/z/hand2_z_top_seg_2_cropped.jpeg,z,val
485,/asl_dataset/n/hand2_n_right_seg_5_cropped.jpeg,n,val
3,/asl_dataset/r/hand3_r_dif_seg_1_cropped.jpeg,r,val
1976,/asl_dataset/b/hand4_b_bot_seg_4_cropped.jpeg,b,val
1206,/asl_dataset/h/hand1_h_top_seg_2_cropped.jpeg,h,val
1055,/asl_dataset/f/hand5_f_bot_seg_2_cropped.jpeg,f,val
269,/asl_dataset/0/hand1_0_left_seg_2_cropped.jpeg,0,val
534,/asl_dataset/g/hand2_g_right_seg_4_cropped.jpeg,g,val
2314,/asl_dataset/5/hand1_5_left_seg_5_cropped.jpeg,5,val
813,/asl_dataset/8/hand1_8_top_seg_1_cropped.jpeg,8,val
1048,/asl_dataset/f/hand5_f_bot_seg_4_cropped.jpeg,f,val
2431,/asl_dataset/p/hand5_p_bot_seg_2_cropped.jpeg,p,val
88,/asl_dataset/u/hand2_u_top_seg_4_cropped.jpeg,u,val
787,/asl_dataset/8/hand5_8_bot_seg_5_cropped.jpeg,8,val
567,/asl_dataset/6/hand2_6_right_seg_1_cropped.jpeg,6,val
1330,/asl_dataset/j/hand3_j_dif_seg_5_cropped.jpeg,j,val
2318,/asl_dataset/5/hand3_5_dif_seg_3_cropped.jpeg,5,val
2244,/asl_dataset/y/hand1_y_dif_seg_3_cropped.jpeg,y,val
227,/asl_dataset/0/hand5_0_bot_seg_4_cropped.jpeg,0,val
1232,/asl_dataset/h/hand1_h_left_seg_2_cropped.jpeg,h,val
1014,/asl_dataset/a/hand2_a_top_seg_3_cropped.jpeg,a,val
591,/asl_dataset/6/hand1_6_bot_seg_2_cropped.jpeg,6,val
1379,/asl_dataset/j/hand2_j_top_seg_2_cropped.jpeg,j,val
